example_id                                                           | status | run_time        |
./spec/controllers/api/v1/borrowings_controller_spec.rb[1:3:1:4]     | passed | 0.22356 seconds |
./spec/controllers/api/v1/borrowings_controller_spec.rb[1:3:1:5]     | passed | 0.6457 seconds  |
./spec/controllers/api/v1/borrowings_controller_spec.rb[1:3:2:1]     | passed | 0.20833 seconds |
./spec/controllers/api/v1/borrowings_controller_spec.rb[1:3:3:1]     | passed | 0.19824 seconds |
./spec/controllers/api/v1/borrowings_controller_spec.rb[1:3:4:1]     | passed | 0.01352 seconds |
./spec/controllers/api/v1/borrowings_controller_spec.rb[1:4:1:1]     | passed | 0.41017 seconds |
./spec/controllers/api/v1/borrowings_controller_spec.rb[1:4:1:2]     | passed | 0.40652 seconds |
./spec/controllers/api/v1/borrowings_controller_spec.rb[1:4:1:3]     | passed | 0.4752 seconds  |
./spec/controllers/api/v1/borrowings_controller_spec.rb[1:4:2:1]     | passed | 0.21298 seconds |
./spec/controllers/api/v1/borrowings_controller_spec.rb[1:4:3:1]     | passed | 0.40344 seconds |
./spec/controllers/api/v1/borrowings_controller_spec.rb[1:4:4:1]     | passed | 0.20607 seconds |
./spec/controllers/api/v1/borrowings_controller_spec.rb[1:5:1:1]     | passed | 0.44064 seconds |
./spec/controllers/api/v1/borrowings_controller_spec.rb[1:5:2:1]     | passed | 0.23623 seconds |
./spec/controllers/api/v1/borrowings_controller_spec.rb[1:6:1:1]     | passed | 0.80555 seconds |
./spec/controllers/api/v1/borrowings_controller_spec.rb[1:6:2:1]     | passed | 0.80356 seconds |
./spec/controllers/api/v1/borrowings_controller_spec.rb[1:7:1]       | passed | 0.21477 seconds |
./spec/controllers/api/v1/borrowings_controller_spec.rb[1:7:2]       | passed | 0.21621 seconds |
./spec/controllers/api/v1/borrowings_controller_spec.rb[1:7:3]       | passed | 0.20803 seconds |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:1:1:1]      | passed | 1.9 seconds     |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:1:1:2]      | passed | 1.9 seconds     |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:1:1:3]      | passed | 1.87 seconds    |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:1:1:4]      | passed | 1.97 seconds    |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:1:1:5]      | passed | 1.85 seconds    |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:1:1:6]      | passed | 1.85 seconds    |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:1:2:1]      | passed | 1.86 seconds    |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:1:3:1]      | passed | 1.64 seconds    |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:2:1:1]      | passed | 0.35623 seconds |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:2:1:2]      | passed | 0.34121 seconds |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:2:1:3]      | passed | 0.35526 seconds |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:2:1:4]      | passed | 0.3411 seconds  |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:2:1:5]      | passed | 0.38293 seconds |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:2:1:6]      | passed | 0.36223 seconds |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:2:2:1]      | passed | 0.4872 seconds  |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:2:3:1]      | passed | 0.32637 seconds |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:3:1]        | passed | 0.61769 seconds |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:3:2]        | passed | 0.6236 seconds  |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:3:3]        | passed | 0.6324 seconds  |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:4:1]        | passed | 0.22082 seconds |
./spec/controllers/api/v1/dashboard_controller_spec.rb[1:5:1]        | passed | 0.29175 seconds |
./spec/controllers/application_controller_spec.rb[1:1:1:1]           | passed | 0.18879 seconds |
./spec/controllers/application_controller_spec.rb[1:1:2:1]           | passed | 0.00457 seconds |
./spec/controllers/application_controller_spec.rb[1:1:3:1]           | passed | 0.01001 seconds |
./spec/models/book_spec.rb[1:1:1]                                    | passed | 0.00243 seconds |
./spec/models/book_spec.rb[1:1:2]                                    | passed | 0.00292 seconds |
./spec/models/book_spec.rb[1:2:1]                                    | passed | 0.00687 seconds |
./spec/models/book_spec.rb[1:2:2]                                    | passed | 0.01451 seconds |
./spec/models/book_spec.rb[1:2:3]                                    | passed | 0.00619 seconds |
./spec/models/book_spec.rb[1:2:4]                                    | passed | 0.00866 seconds |
./spec/models/book_spec.rb[1:2:5]                                    | passed | 0.0131 seconds  |
./spec/models/book_spec.rb[1:2:6]                                    | passed | 0.01304 seconds |
./spec/models/book_spec.rb[1:2:7]                                    | passed | 0.00817 seconds |
./spec/models/book_spec.rb[1:2:8:1]                                  | passed | 0.00584 seconds |
./spec/models/book_spec.rb[1:2:8:2]                                  | passed | 0.00447 seconds |
./spec/models/book_spec.rb[1:2:9:1]                                  | passed | 0.00527 seconds |
./spec/models/book_spec.rb[1:3:1]                                    | passed | 0.00302 seconds |
./spec/models/book_spec.rb[1:4:1:1]                                  | passed | 0.03137 seconds |
./spec/models/book_spec.rb[1:4:2:1]                                  | passed | 0.0309 seconds  |
./spec/models/book_spec.rb[1:4:2:2]                                  | passed | 0.03224 seconds |
./spec/models/book_spec.rb[1:4:3:1]                                  | passed | 0.04969 seconds |
./spec/models/book_spec.rb[1:4:3:2]                                  | passed | 0.03751 seconds |
./spec/models/book_spec.rb[1:4:4:1]                                  | passed | 0.04685 seconds |
./spec/models/book_spec.rb[1:4:4:2]                                  | passed | 0.03704 seconds |
./spec/models/book_spec.rb[1:5:1]                                    | passed | 0.03001 seconds |
./spec/models/book_spec.rb[1:5:2]                                    | passed | 0.02182 seconds |
./spec/models/book_spec.rb[1:5:3]                                    | passed | 0.02629 seconds |
./spec/models/book_spec.rb[1:6:1:1]                                  | passed | 0.00936 seconds |
./spec/models/book_spec.rb[1:6:1:2]                                  | passed | 0.01493 seconds |
./spec/models/book_spec.rb[1:6:1:3]                                  | passed | 0.01505 seconds |
./spec/models/book_spec.rb[1:6:2:1]                                  | passed | 0.00759 seconds |
./spec/models/book_spec.rb[1:6:2:2]                                  | passed | 0.01248 seconds |
./spec/models/book_spec.rb[1:6:3:1]                                  | passed | 0.00945 seconds |
./spec/models/book_spec.rb[1:6:4:1]                                  | passed | 0.00644 seconds |
./spec/models/book_spec.rb[1:6:4:2]                                  | passed | 0.00732 seconds |
./spec/models/book_spec.rb[1:6:4:3]                                  | passed | 0.00702 seconds |
./spec/models/book_spec.rb[1:6:5:1]                                  | passed | 0.3908 seconds  |
./spec/models/book_spec.rb[1:6:6:1]                                  | passed | 0.40186 seconds |
./spec/models/book_spec.rb[1:6:7:1]                                  | passed | 0.20184 seconds |
./spec/models/book_spec.rb[1:6:7:2]                                  | passed | 0.20937 seconds |
./spec/models/book_spec.rb[1:6:8:1]                                  | passed | 0.966 seconds   |
./spec/models/book_spec.rb[1:7:1]                                    | passed | 0.00684 seconds |
./spec/models/book_spec.rb[1:7:2]                                    | passed | 0.00684 seconds |
./spec/models/borrowing_spec.rb[1:1:1]                               | passed | 0.00757 seconds |
./spec/models/borrowing_spec.rb[1:1:2]                               | passed | 0.00545 seconds |
./spec/models/borrowing_spec.rb[1:2:1]                               | passed | 0.18913 seconds |
./spec/models/borrowing_spec.rb[1:2:2]                               | passed | 0.1836 seconds  |
./spec/models/borrowing_spec.rb[1:2:3:1]                             | passed | 0.20279 seconds |
./spec/models/borrowing_spec.rb[1:2:3:2]                             | passed | 0.20191 seconds |
./spec/models/borrowing_spec.rb[1:2:4:1:1]                           | passed | 0.18371 seconds |
./spec/models/borrowing_spec.rb[1:2:4:1:2]                           | passed | 0.18363 seconds |
./spec/models/borrowing_spec.rb[1:2:4:2:1]                           | passed | 0.18998 seconds |
./spec/models/borrowing_spec.rb[1:2:4:2:2]                           | passed | 0.19012 seconds |
./spec/models/borrowing_spec.rb[1:2:4:2:3]                           | passed | 0.19338 seconds |
./spec/models/borrowing_spec.rb[1:2:4:3:1]                           | passed | 0.18442 seconds |
./spec/models/borrowing_spec.rb[1:2:4:3:2]                           | passed | 0.19073 seconds |
./spec/models/borrowing_spec.rb[1:3:1]                               | passed | 0.00214 seconds |
./spec/models/borrowing_spec.rb[1:4:1:1]                             | passed | 0.80068 seconds |
./spec/models/borrowing_spec.rb[1:4:2:1]                             | passed | 0.78243 seconds |
./spec/models/borrowing_spec.rb[1:4:3:1]                             | passed | 0.8008 seconds  |
./spec/models/borrowing_spec.rb[1:4:4:1]                             | passed | 1.01 seconds    |
./spec/models/borrowing_spec.rb[1:5:1:1]                             | passed | 0.18445 seconds |
./spec/models/borrowing_spec.rb[1:5:1:2]                             | passed | 0.18496 seconds |
./spec/models/borrowing_spec.rb[1:5:1:3]                             | passed | 0.19906 seconds |
./spec/models/borrowing_spec.rb[1:5:2:1]                             | passed | 0.19639 seconds |
./spec/models/borrowing_spec.rb[1:5:2:2]                             | passed | 0.2108 seconds  |
./spec/models/borrowing_spec.rb[1:5:3:1]                             | passed | 0.21463 seconds |
./spec/models/borrowing_spec.rb[1:5:3:2]                             | passed | 0.21814 seconds |
./spec/models/borrowing_spec.rb[1:6:1:1]                             | passed | 0.1945 seconds  |
./spec/models/borrowing_spec.rb[1:6:1:2]                             | passed | 0.21031 seconds |
./spec/models/borrowing_spec.rb[1:6:2:1]                             | passed | 0.20117 seconds |
./spec/models/borrowing_spec.rb[1:6:2:2]                             | passed | 0.19881 seconds |
./spec/models/borrowing_spec.rb[1:6:2:3]                             | passed | 0.19852 seconds |
./spec/models/borrowing_spec.rb[1:6:3:1]                             | passed | 0.20638 seconds |
./spec/models/borrowing_spec.rb[1:6:3:2]                             | passed | 0.19516 seconds |
./spec/models/borrowing_spec.rb[1:6:3:3]                             | passed | 0.19514 seconds |
./spec/models/borrowing_spec.rb[1:6:4:1]                             | passed | 0.19556 seconds |
